BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,1,7,0.938712861
2015,7,1,8,1.070927539
2015,7,1,9,1.19178682
2015,7,1,10,1.097272061
2015,7,1,11,1.037731927
2015,7,1,12,0.998820765
2015,7,1,13,0.971302852
2015,7,1,14,0.978267495
2015,7,1,15,1.005141936
2015,7,1,16,1.060139912
2015,7,1,17,1.134517765
2015,7,1,18,1.201476759
2015,7,1,19,1.256361181
2015,7,1,20,1.301555663
2015,7,1,21,1.356667192
2015,7,1,22,1.393950747
2015,7,1,23,1.437441919
2015,7,1,24,1.447926736
2015,7,2,1,1.457313865
2015,7,2,2,1.458335851
2015,7,2,3,1.442135484
2015,7,2,4,1.411021695
2015,7,2,5,1.389067926
2015,7,2,6,1.386758995
2015,7,2,7,1.344214106
2015,7,2,8,1.235997168
2015,7,2,9,1.12895362
2015,7,2,10,1.052228985
2015,7,2,11,0.992915958
2015,7,2,12,0.958168442
2015,7,2,13,0.940718981
2015,7,2,14,0.961461507
2015,7,2,15,0.992423891
2015,7,2,16,1.049768648
2015,7,2,17,1.13236024
2015,7,2,18,1.195723358
2015,7,2,19,1.23633783
2015,7,2,20,1.276233126
2015,7,2,21,1.311661966
2015,7,2,22,1.351405858
2015,7,2,23,1.401710269
2015,7,2,24,1.441529863
2015,7,3,1,1.471432409
2015,7,3,2,1.489903856
2015,7,3,3,1.472454395
2015,7,3,4,1.429795952
2015,7,3,5,1.371959127
2015,7,3,6,1.34603097
2015,7,3,7,1.298376151
2015,7,3,8,1.202158083
2015,7,3,9,1.101662815
2015,7,3,10,1.023424126
2015,7,3,11,0.963202668
2015,7,3,12,0.920922738
2015,7,3,13,0.906501383
2015,7,3,14,0.905441546
2015,7,3,15,0.914185202
2015,7,3,16,0.932467392
2015,7,3,17,0.959568941
2015,7,3,18,1.012333688
2015,7,3,19,1.061275451
2015,7,3,20,1.103139017
2015,7,3,21,1.144813326
2015,7,3,22,1.188569457
2015,7,3,23,1.24349173
2015,7,3,24,1.298678962
2015,7,4,1,1.344441214
2015,7,4,2,1.3797565
2015,7,4,3,1.39088479
2015,7,4,4,1.367379117
2015,7,4,5,1.318853718
2015,7,4,6,1.291070846
2015,7,4,7,1.248753064
2015,7,4,8,1.169681646
2015,7,4,9,1.079822601
2015,7,4,10,1.007185908
2015,7,4,11,0.95211223
2015,7,4,12,0.923042412
2015,7,4,13,0.896092269
2015,7,4,14,0.884055547
2015,7,4,15,0.88326067
2015,7,4,16,0.875879661
2015,7,4,17,0.907864031
2015,7,4,18,0.959720346
2015,7,4,19,1.011765918
2015,7,4,20,1.050904188
2015,7,4,21,1.09723421
2015,7,4,22,1.141028193
2015,7,4,23,1.177365465
2015,7,4,24,1.206965201
2015,7,5,1,1.237851883
2015,7,5,2,1.253825142
2015,7,5,3,1.256891099
2015,7,5,4,1.238949571
2015,7,5,5,1.191938225
2015,7,5,6,1.161127247
2015,7,5,7,1.118317398
2015,7,5,8,1.085538151
2015,7,5,9,1.032016377
2015,7,5,10,0.971492108
2015,7,5,11,0.918916618
2015,7,5,12,0.88098959
2015,7,5,13,0.863729386
2015,7,5,14,0.859111524
2015,7,5,15,0.840526524
2015,7,5,16,0.852828204
2015,7,5,17,0.87640958
2015,7,5,18,0.917970335
2015,7,5,19,0.962142831
2015,7,5,20,0.995792659
2015,7,5,21,1.030161662
2015,7,5,22,1.053705186
2015,7,5,23,1.069640594
2015,7,5,24,1.104425962
2015,7,6,1,1.151361605
2015,7,6,2,1.184178704
2015,7,6,3,1.204315609
2015,7,6,4,1.20378569
2015,7,6,5,1.180242166
2015,7,6,6,1.175472899
2015,7,6,7,1.145267542
2015,7,6,8,1.07096539
2015,7,6,9,0.988525205
2015,7,6,10,0.921869021
2015,7,6,11,0.892307136
2015,7,6,12,0.862026076
2015,7,6,13,0.851087043
2015,7,6,14,0.866871046
2015,7,6,15,0.907750477
2015,7,6,16,0.970091609
2015,7,6,17,1.038451102
2015,7,6,18,1.094016847
2015,7,6,19,1.127666675
2015,7,6,20,1.170855037
2015,7,6,21,1.178311748
2015,7,6,22,1.195231291
2015,7,6,23,1.227026404
2015,7,6,24,1.264120702
2015,7,7,1,1.298073341
2015,7,7,2,1.316431233
2015,7,7,3,1.321579014
2015,7,7,4,1.309163779
2015,7,7,5,1.272940061
2015,7,7,6,1.26063838
2015,7,7,7,1.220175314
2015,7,7,8,1.123919394
2015,7,7,9,1.029896703
2015,7,7,10,0.967971935
2015,7,7,11,0.93553335
2015,7,7,12,0.905630803
2015,7,7,13,0.889998206
2015,7,7,14,0.895524499
2015,7,7,15,0.937501618
2015,7,7,16,0.99753382
2015,7,7,17,1.0569604
2015,7,7,18,1.098596858
2015,7,7,19,1.125206339
2015,7,7,20,1.160445923
2015,7,7,21,1.17206628
2015,7,7,22,1.176267777
2015,7,7,23,1.211545212
2015,7,7,24,1.248563808
2015,7,8,1,1.279223381
2015,7,8,2,1.29947384
2015,7,8,3,1.304545917
2015,7,8,4,1.284787526
2015,7,8,5,1.251516211
2015,7,8,6,1.243643135
2015,7,8,7,1.207532971
2015,7,8,8,1.119187979
2015,7,8,9,1.026225124
2015,7,8,10,0.962748452
2015,7,8,11,0.915737107
2015,7,8,12,0.888143491
2015,7,8,13,0.877810079
2015,7,8,14,0.89098234
2015,7,8,15,0.907182707
2015,7,8,16,0.942838655
2015,7,8,17,1.006277476
2015,7,8,18,1.054007997
2015,7,8,19,1.088566257
2015,7,8,20,1.126909649
2015,7,8,21,1.140460423
2015,7,8,22,1.149014823
2015,7,8,23,1.167524121
2015,7,8,24,1.186184824
2015,7,9,1,1.20435346
2015,7,9,2,1.221916475
2015,7,9,3,1.234899479
2015,7,9,4,1.227745579
2015,7,9,5,1.208025038
2015,7,9,6,1.217639275
2015,7,9,7,1.185352095
2015,7,9,8,1.096969251
2015,7,9,9,1.008851366
2015,7,9,10,0.939772698
2015,7,9,11,0.900634428
2015,7,9,12,0.888749112
2015,7,9,13,0.878756362
2015,7,9,14,0.880535374
2015,7,9,15,0.899196077
2015,7,9,16,0.941854521
2015,7,9,17,1.00726161
2015,7,9,18,1.054197254
2015,7,9,19,1.089209729
2015,7,9,20,1.110520025
2015,7,9,21,1.118430952
2015,7,9,22,1.119112276
2015,7,9,23,1.131943875
2015,7,9,24,1.14322357
2015,7,10,1,1.151702267
2015,7,10,2,1.160975841
2015,7,10,3,1.161922125
2015,7,10,4,1.154465414
2015,7,10,5,1.140006207
2015,7,10,6,1.159083275
2015,7,10,7,1.140422572
2015,7,10,8,1.070056959
2015,7,10,9,0.996663239
2015,7,10,10,0.943444276
2015,7,10,11,0.904078898
2015,7,10,12,0.878567105
2015,7,10,13,0.866000465
2015,7,10,14,0.879437686
2015,7,10,15,0.918462402
2015,7,10,16,0.959341833
2015,7,10,17,1.014074849
2015,7,10,18,1.060594127
2015,7,10,19,1.098559006
2015,7,10,20,1.121004842
2015,7,10,21,1.12637973
2015,7,10,22,1.124979231
2015,7,10,23,1.123313773
2015,7,10,24,1.131981726
2015,7,11,1,1.145986717
2015,7,11,2,1.157872033
2015,7,11,3,1.164533866
2015,7,11,4,1.158023438
2015,7,11,5,1.142580097
2015,7,11,6,1.155071035
2015,7,11,7,1.139551991
2015,7,11,8,1.074069199
2015,7,11,9,1.004460612
2015,7,11,10,0.957297861
2015,7,11,11,0.901315752
2015,7,11,12,0.865697655
2015,7,11,13,0.847907532
2015,7,11,14,0.848286045
2015,7,11,15,0.858808714
2015,7,11,16,0.863615832
2015,7,11,17,0.895486648
2015,7,11,18,0.941968075
2015,7,11,19,0.990152812
2015,7,11,20,1.020547426
2015,7,11,21,1.043371775
2015,7,11,22,1.062865207
2015,7,11,23,1.086787244
2015,7,11,24,1.095720157
2015,7,12,1,1.12637973
2015,7,12,2,1.15378409
2015,7,12,3,1.173353225
2015,7,12,4,1.17263405
2015,7,12,5,1.145002582
2015,7,12,6,1.15264855
2015,7,12,7,1.131451808
2015,7,12,8,1.062524545
2015,7,12,9,0.987957435
2015,7,12,10,0.933640783
2015,7,12,11,0.898287646
2015,7,12,12,0.867136005
2015,7,12,13,0.845106534
2015,7,12,14,0.83700635
2015,7,12,15,0.838974619
2015,7,12,16,0.8241369
2015,7,12,17,0.847112654
2015,7,12,18,0.900937238
2015,7,12,19,0.937955834
2015,7,12,20,0.972059878
2015,7,12,21,1.006504584
2015,7,12,22,1.03780763
2015,7,12,23,1.065136286
2015,7,12,24,1.108930269
2015,7,13,1,1.145608203
2015,7,13,2,1.180620679
2015,7,13,3,1.205905364
2015,7,13,4,1.20435346
2015,7,13,5,1.172596198
2015,7,13,6,1.176192074
2015,7,13,7,1.154957481
2015,7,13,8,1.074447712
2015,7,13,9,0.987730327
2015,7,13,10,0.922550345
