EIA data,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,1,7,1.0525
2015,7,1,8,0.9885
2015,7,1,9,0.9374
2015,7,1,10,0.8977
2015,7,1,11,0.8762
2015,7,1,12,0.8837
2015,7,1,13,0.911
2015,7,1,14,0.9502
2015,7,1,15,0.9949
2015,7,1,16,1.0474
2015,7,1,17,1.109
2015,7,1,18,1.169
2015,7,1,19,1.2198
2015,7,1,20,1.2655
2015,7,1,21,1.3011
2015,7,1,22,1.3264
2015,7,1,23,1.3425
2015,7,1,24,1.3446
2015,7,2,1,1.3248
2015,7,2,2,1.2945
2015,7,2,3,1.2627
2015,7,2,4,1.2368
2015,7,2,5,1.1861
2015,7,2,6,1.1073
2015,7,2,7,1.0338
2015,7,2,8,0.9786
2015,7,2,9,0.9273
2015,7,2,10,0.8908
2015,7,2,11,0.8737
2015,7,2,12,0.879
2015,7,2,13,0.9044
2015,7,2,14,0.9395
2015,7,2,15,0.9851
2015,7,2,16,1.0367
2015,7,2,17,1.0948
2015,7,2,18,1.1495
2015,7,2,19,1.1957
2015,7,2,20,1.2338
2015,7,2,21,1.2608
2015,7,2,22,1.2779
2015,7,2,23,1.2863
2015,7,2,24,1.2872
2015,7,3,1,1.2699
2015,7,3,2,1.2437
2015,7,3,3,1.215
2015,7,3,4,1.1916
2015,7,3,5,1.1425
2015,7,3,6,1.073
2015,7,3,7,1.0045
2015,7,3,8,0.9475
2015,7,3,9,0.8989
2015,7,3,10,0.8654
2015,7,3,11,0.8431
2015,7,3,12,0.8375
2015,7,3,13,0.8411
2015,7,3,14,0.8564
2015,7,3,15,0.8916
2015,7,3,16,0.9447
2015,7,3,17,1.0026
2015,7,3,18,1.0535
2015,7,3,19,1.1001
2015,7,3,20,1.139
2015,7,3,21,1.1712
2015,7,3,22,1.1945
2015,7,3,23,1.212
2015,7,3,24,1.2201
2015,7,4,1,1.2098
2015,7,4,2,1.1858
2015,7,4,3,1.1611
2015,7,4,4,1.1395
2015,7,4,5,1.099
2015,7,4,6,1.0375
2015,7,4,7,0.9775
2015,7,4,8,0.9203
2015,7,4,9,0.8757
2015,7,4,10,0.8426
2015,7,4,11,0.8186
2015,7,4,12,0.8066
2015,7,4,13,0.8004
2015,7,4,14,0.8045
2015,7,4,15,0.8356
2015,7,4,16,0.8934
2015,7,4,17,0.9565
2015,7,4,18,1.0169
2015,7,4,19,1.0676
2015,7,4,20,1.1077
2015,7,4,21,1.1357
2015,7,4,22,1.1579
2015,7,4,23,1.1741
2015,7,4,24,1.1783
2015,7,5,1,1.1657
2015,7,5,2,1.136
2015,7,5,3,1.1009
2015,7,5,4,1.0701
2015,7,5,5,1.0362
2015,7,5,6,0.9956
2015,7,5,7,0.9449
2015,7,5,8,0.8943
2015,7,5,9,0.855
2015,7,5,10,0.8263
2015,7,5,11,0.8066
2015,7,5,12,0.7947
2015,7,5,13,0.7861
2015,7,5,14,0.7917
2015,7,5,15,0.8292
2015,7,5,16,0.8888
2015,7,5,17,0.9562
2015,7,5,18,1.0224
2015,7,5,19,1.0846
2015,7,5,20,1.1378
2015,7,5,21,1.1785
2015,7,5,22,1.2095
2015,7,5,23,1.2317
2015,7,5,24,1.2422
2015,7,6,1,1.2374
2015,7,6,2,1.2163
2015,7,6,3,1.1914
2015,7,6,4,1.1728
2015,7,6,5,1.1322
2015,7,6,6,1.0646
2015,7,6,7,0.9973
2015,7,6,8,0.9435
2015,7,6,9,0.8995
2015,7,6,10,0.871
2015,7,6,11,0.8578
2015,7,6,12,0.8679
2015,7,6,13,0.8969
2015,7,6,14,0.9466
2015,7,6,15,1.0048
2015,7,6,16,1.0697
2015,7,6,17,1.1404
2015,7,6,18,1.2097
2015,7,6,19,1.2704
2015,7,6,20,1.3288
2015,7,6,21,1.3636
2015,7,6,22,1.3866
2015,7,6,23,1.4002
2015,7,6,24,1.4055
2015,7,7,1,1.3887
2015,7,7,2,1.3569
2015,7,7,3,1.3207
2015,7,7,4,1.2913
2015,7,7,5,1.2325
2015,7,7,6,1.1506
2015,7,7,7,1.0715
2015,7,7,8,1.0077
2015,7,7,9,0.9572
2015,7,7,10,0.9223
2015,7,7,11,0.9071
2015,7,7,12,0.9158
2015,7,7,13,0.947
2015,7,7,14,0.9926
2015,7,7,15,1.0443
2015,7,7,16,1.1057
2015,7,7,17,1.172
2015,7,7,18,1.2346
2015,7,7,19,1.282
2015,7,7,20,1.3211
2015,7,7,21,1.3457
2015,7,7,22,1.3586
2015,7,7,23,1.3625
2015,7,7,24,1.3609
2015,7,8,1,1.3427
2015,7,8,2,1.3116
2015,7,8,3,1.283
2015,7,8,4,1.2582
2015,7,8,5,1.2031
2015,7,8,6,1.1262
2015,7,8,7,1.054
2015,7,8,8,0.996
2015,7,8,9,0.9477
2015,7,8,10,0.9133
2015,7,8,11,0.8983
2015,7,8,12,0.9064
2015,7,8,13,0.9378
2015,7,8,14,0.9777
2015,7,8,15,1.0252
2015,7,8,16,1.0787
2015,7,8,17,1.1403
2015,7,8,18,1.1976
2015,7,8,19,1.246
2015,7,8,20,1.2847
2015,7,8,21,1.3143
2015,7,8,22,1.3287
2015,7,8,23,1.3324
2015,7,8,24,1.3291
2015,7,9,1,1.3158
2015,7,9,2,1.2914
2015,7,9,3,1.2649
2015,7,9,4,1.2434
2015,7,9,5,1.1909
2015,7,9,6,1.1164
2015,7,9,7,1.047
2015,7,9,8,0.9882
2015,7,9,9,0.9407
2015,7,9,10,0.9064
2015,7,9,11,0.8911
2015,7,9,12,0.9013
2015,7,9,13,0.9342
2015,7,9,14,0.9756
2015,7,9,15,1.0236
2015,7,9,16,1.0814
2015,7,9,17,1.1451
2015,7,9,18,1.2058
2015,7,9,19,1.2551
2015,7,9,20,1.2986
2015,7,9,21,1.3308
2015,7,9,22,1.3534
2015,7,9,23,1.3679
2015,7,9,24,1.3711
2015,7,10,1,1.3557
2015,7,10,2,1.3252
2015,7,10,3,1.2908
2015,7,10,4,1.2606
2015,7,10,5,1.2053
2015,7,10,6,1.1295
2015,7,10,7,1.055
2015,7,10,8,0.9985
2015,7,10,9,0.9463
2015,7,10,10,0.9097
2015,7,10,11,0.8917
2015,7,10,12,0.8977
2015,7,10,13,0.9236
2015,7,10,14,0.9651
2015,7,10,15,1.0164
2015,7,10,16,1.0815
2015,7,10,17,1.1503
2015,7,10,18,1.2151
2015,7,10,19,1.2657
2015,7,10,20,1.3092
2015,7,10,21,1.3434
2015,7,10,22,1.3649
2015,7,10,23,1.3795
2015,7,10,24,1.3801
2015,7,11,1,1.361
2015,7,11,2,1.3241
2015,7,11,3,1.2781
