EIA data,,,,,,EIA data,,,,
,,,,,,,,,,
"EIA data, but copied and redated to match Clack data. ",,,,,,,,,,
Clack data goes from 1 Jan 2006 to 31 Dec 2008.  2008 is a leap year.,,,,,,,,,,
EIA data for full years goes from 1 Jan 2016 to 31 Dec 2017. 2016 is a leap year,,,,,,,,,,
"To match 3 years of clack 2017 is mapped to 2006 and 2007, 2016 is mapped to 2008. Then these 3 years are normalize to a time mean of 1.",,,,,,,,,,
,,,,,,,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,,,Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,,,,,,,
BEGIN_DATA,,,,,,,,,,
year,month,day,hour,demand,,original year,original month,original day,original hour,original demand data with 3 year mean of 1.00494788625304
2006,1,1,1,0.996270567,,2017,1,1,1,1.0012
2006,1,1,2,1.017664711,,2017,1,1,2,1.0227
2006,1,1,3,1.018659787,,2017,1,1,3,1.0237
2006,1,1,4,1.003932655,,2017,1,1,4,1.0089
2006,1,1,5,0.976767068,,2017,1,1,5,0.9816
2006,1,1,6,0.94492462,,2017,1,1,6,0.9496
2006,1,1,7,0.915470357,,2017,1,1,7,0.92
2006,1,1,8,0.887807231,,2017,1,1,8,0.8922
2006,1,1,9,0.86541801,,2017,1,1,9,0.8697
2006,1,1,10,0.846710572,,2017,1,1,10,0.8509
2006,1,1,11,0.828799196,,2017,1,1,11,0.8329
2006,1,1,12,0.819843508,,2017,1,1,12,0.8239
2006,1,1,13,0.818848431,,2017,1,1,13,0.8229
2006,1,1,14,0.825316428,,2017,1,1,14,0.8294
2006,1,1,15,0.840143068,,2017,1,1,15,0.8443
2006,1,1,16,0.858352967,,2017,1,1,16,0.8626
2006,1,1,17,0.877657451,,2017,1,1,17,0.882
2006,1,1,18,0.887508708,,2017,1,1,18,0.8919
2006,1,1,19,0.890294922,,2017,1,1,19,0.8947
2006,1,1,20,0.892782613,,2017,1,1,20,0.8972
2006,1,1,21,0.889299846,,2017,1,1,21,0.8937
2006,1,1,22,0.884822001,,2017,1,1,22,0.8892
2006,1,1,23,0.882732341,,2017,1,1,23,0.8871
2006,1,1,24,0.892185567,,2017,1,1,24,0.8966
2006,1,2,1,0.929202412,,2017,1,2,1,0.9338
2006,1,2,2,0.961343382,,2017,1,2,2,0.9661
2006,1,2,3,0.974179869,,2017,1,2,3,0.979
2006,1,2,4,0.975771991,,2017,1,2,4,0.9806
2006,1,2,5,0.954775878,,2017,1,2,5,0.9595
2006,1,2,6,0.92422703,,2017,1,2,6,0.9288
2006,1,2,7,0.888503784,,2017,1,2,7,0.8929
2006,1,2,8,0.850690878,,2017,1,2,8,0.8549
2006,1,2,9,0.820042523,,2017,1,2,9,0.8241
2006,1,2,10,0.79815084,,2017,1,2,10,0.8021
2006,1,2,11,0.786408938,,2017,1,2,11,0.7903
2006,1,2,12,0.7859114,,2017,1,2,12,0.7898
2006,1,2,13,0.796160687,,2017,1,2,13,0.8001
2006,1,2,14,0.820739076,,2017,1,2,14,0.8248
2006,1,2,15,0.851586447,,2017,1,2,15,0.8558
2006,1,2,16,0.882831848,,2017,1,2,16,0.8872
2006,1,2,17,0.91746051,,2017,1,2,17,0.922
2006,1,2,18,0.94830788,,2017,1,2,18,0.953
2006,1,2,19,0.968905964,,2017,1,2,19,0.9737
2006,1,2,20,0.976866575,,2017,1,2,20,0.9817
2006,1,2,21,0.978060667,,2017,1,2,21,0.9829
2006,1,2,22,0.975672484,,2017,1,2,22,0.9805
2006,1,2,23,0.974080361,,2017,1,2,23,0.9789
2006,1,2,24,0.985623248,,2017,1,2,24,0.9905
2006,1,3,1,1.014480466,,2017,1,3,1,1.0195
2006,1,3,2,1.034979041,,2017,1,3,2,1.0401
