Chris Clack wind capacity data,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,wind capacity
2006,1,1,1,0.9537
2006,1,1,2,0.9733
2006,1,1,3,0.9943
2006,1,1,4,0.9959
2006,1,1,5,1.0051
2006,1,1,6,1.0247
2006,1,1,7,1.0422
2006,1,1,8,1.0365
2006,1,1,9,1.0309
2006,1,1,10,1.0176
2006,1,1,11,1.0131
2006,1,1,12,1.0059
2006,1,1,13,0.995
2006,1,1,14,0.9974
2006,1,1,15,1.0121
2006,1,1,16,1.0154
2006,1,1,17,1.0027
2006,1,1,18,1.0027
2006,1,1,19,0.9599
2006,1,1,20,0.9855
2006,1,1,21,1.0107
2006,1,1,22,1.0395
2006,1,1,23,1.0883
2006,1,1,24,1.1291
2006,1,2,1,1.1397
2006,1,2,2,1.1566
2006,1,2,3,1.1525
2006,1,2,4,1.1562
2006,1,2,5,1.1491
2006,1,2,6,1.1289
2006,1,2,7,1.1172
2006,1,2,8,1.1108
2006,1,2,9,1.1153
2006,1,2,10,1.1038
2006,1,2,11,1.0973
2006,1,2,12,1.0871
2006,1,2,13,1.0824
2006,1,2,14,1.0755
2006,1,2,15,1.0628
2006,1,2,16,1.042
2006,1,2,17,0.9647
2006,1,2,18,0.922
2006,1,2,19,0.8542
2006,1,2,20,0.8729
2006,1,2,21,0.8945
2006,1,2,22,0.9408
2006,1,2,23,0.9805
2006,1,2,24,0.9835
2006,1,3,1,0.9676
2006,1,3,2,0.9801
2006,1,3,3,0.99
2006,1,3,4,0.9928
2006,1,3,5,1.0095
2006,1,3,6,1.0234
2006,1,3,7,1.0084
2006,1,3,8,1.0006
2006,1,3,9,0.9963
2006,1,3,10,0.9928
2006,1,3,11,0.9992
2006,1,3,12,1.0053
2006,1,3,13,0.9914
2006,1,3,14,0.9895
2006,1,3,15,0.9947
2006,1,3,16,1.013
2006,1,3,17,0.9888
2006,1,3,18,0.9565
2006,1,3,19,0.9589
2006,1,3,20,0.9774
2006,1,3,21,1.0074
2006,1,3,22,1.0334
2006,1,3,23,1.0649
2006,1,3,24,1.0877
2006,1,4,1,1.0997
2006,1,4,2,1.133
2006,1,4,3,1.1525
2006,1,4,4,1.1581
2006,1,4,5,1.1566
2006,1,4,6,1.1617
2006,1,4,7,1.1496
2006,1,4,8,1.1466
2006,1,4,9,1.1288
2006,1,4,10,1.1119
2006,1,4,11,1.1054
2006,1,4,12,1.0976
2006,1,4,13,1.056
2006,1,4,14,1.0459
2006,1,4,15,1.033
2006,1,4,16,1.0147
2006,1,4,17,0.9929
2006,1,4,18,0.95
2006,1,4,19,0.9053
2006,1,4,20,0.8752
2006,1,4,21,0.872
2006,1,4,22,0.8759
2006,1,4,23,0.8942
2006,1,4,24,0.9168
2006,1,5,1,0.9148
2006,1,5,2,0.9667
2006,1,5,3,1.0105
2006,1,5,4,1.0365
2006,1,5,5,1.0292
2006,1,5,6,1.0446
2006,1,5,7,1.0644
2006,1,5,8,1.0758
2006,1,5,9,1.0937
2006,1,5,10,1.101
2006,1,5,11,1.0932
2006,1,5,12,1.0899
2006,1,5,13,1.0705
2006,1,5,14,1.0822
2006,1,5,15,1.0906
2006,1,5,16,1.0867
2006,1,5,17,1.0708
2006,1,5,18,1.0502
2006,1,5,19,1.0416
2006,1,5,20,1.0553
2006,1,5,21,1.0715
2006,1,5,22,1.0948
