Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,,,
year,month,day,hour,demand (MW)
2015,7,2,1,568722
2015,7,2,2,557117
2015,7,2,3,533966
2015,7,2,4,498200
2015,7,2,5,465082
2015,7,2,6,440472
2015,7,2,7,417331
2015,7,2,8,400606
2015,7,2,9,392760
2015,7,2,10,395103
2015,7,2,11,406601
2015,7,2,12,422374
2015,7,2,13,443030
2015,7,2,14,466242
2015,7,2,15,492214
2015,7,2,16,516794
2015,7,2,17,537718
2015,7,2,18,554893
2015,7,2,19,567065
2015,7,2,20,574560
2015,7,2,21,578297
2015,7,2,22,578569
2015,7,2,23,570842
2015,7,2,24,559217
2015,7,3,1,546822
2015,7,3,2,536093
2015,7,3,3,514132
2015,7,3,4,482484
2015,7,3,5,451473
2015,7,3,6,425981
2015,7,3,7,404355
2015,7,3,8,388383
2015,7,3,9,378891
2015,7,3,10,376316
2015,7,3,11,377980
2015,7,3,12,384799
2015,7,3,13,400959
2015,7,3,14,424778
2015,7,3,15,450747
2015,7,3,16,473497
2015,7,3,17,494443
2015,7,3,18,511923
2015,7,3,19,526295
2015,7,3,20,536895
2015,7,3,21,544709
2015,7,3,22,548259
2015,7,3,23,543495
2015,7,3,24,532709
2015,7,4,1,521819
2015,7,4,2,512130
2015,7,4,3,494071
2015,7,4,4,466142
2015,7,4,5,439068
2015,7,4,6,413423
2015,7,4,7,393505
2015,7,4,8,378625
2015,7,4,9,367737
2015,7,4,10,362324
2015,7,4,11,359586
2015,7,4,12,361237
2015,7,4,13,375389
2015,7,4,14,401537
2015,7,4,15,429908
2015,7,4,16,456781
2015,7,4,17,479689
2015,7,4,18,497564
2015,7,4,19,510332
2015,7,4,20,520177
2015,7,4,21,527436
2015,7,4,22,529277
2015,7,4,23,523336
2015,7,4,24,510472
2015,7,5,1,495131
2015,7,5,2,481386
2015,7,5,3,466016
2015,7,5,4,447440
2015,7,5,5,424852
2015,7,5,6,401690
2015,7,5,7,384094
2015,7,5,8,371050
2015,7,5,9,362236
2015,7,5,10,356849
2015,7,5,11,353017
2015,7,5,12,355589
2015,7,5,13,372569
2015,7,5,14,399398
2015,7,5,15,429502
2015,7,5,16,459121
2015,7,5,17,487031
2015,7,5,18,510832
2015,7,5,19,529031
2015,7,5,20,543004
2015,7,5,21,553135
2015,7,5,22,557699
2015,7,5,23,555628
2015,7,5,24,547072
2015,7,6,1,536345
2015,7,6,2,527950
2015,7,6,3,509641
2015,7,6,4,478953
2015,7,6,5,448569
2015,7,6,6,424253
2015,7,6,7,404399
2015,7,6,8,391515
2015,7,6,9,385452
2015,7,6,10,389928
2015,7,6,11,403060
2015,7,6,12,425398
2015,7,6,13,451724
2015,7,6,14,480906
2015,7,6,15,512500
2015,7,6,16,543740
2015,7,6,17,570939
2015,7,6,18,597076
2015,7,6,19,612826
2015,7,6,20,623207
2015,7,6,21,629217
2015,7,6,22,631551
2015,7,6,23,623927
2015,7,6,24,610006
2015,7,7,1,593760
2015,7,7,2,580617
2015,7,7,3,554540
2015,7,7,4,517377
2015,7,7,5,481790
2015,7,7,6,453016
2015,7,7,7,430213
2015,7,7,8,414315
2015,7,7,9,407432
2015,7,7,10,411391
2015,7,7,11,425451
2015,7,7,12,445946
2015,7,7,13,469279
2015,7,7,14,496949
2015,7,7,15,526610
2015,7,7,16,554772
2015,7,7,17,576051
2015,7,7,18,593630
2015,7,7,19,604637
2015,7,7,20,610363
2015,7,7,21,612084
2015,7,7,22,611453
2015,7,7,23,603191
2015,7,7,24,589752
2015,7,8,1,576923
2015,7,8,2,565624
2015,7,8,3,540940
2015,7,8,4,505914
2015,7,8,5,473325
2015,7,8,6,447163
2015,7,8,7,425666
2015,7,8,8,410315
2015,7,8,9,403359
2015,7,8,10,407135
2015,7,8,11,421248
2015,7,8,12,439231
2015,7,8,13,460609
2015,7,8,14,484644
2015,7,8,15,512253
2015,7,8,16,537800
2015,7,8,17,559628
2015,7,8,18,576904
2015,7,8,19,590182
2015,7,8,20,596629
2015,7,8,21,598654
2015,7,8,22,597117
2015,7,8,23,590857
2015,7,8,24,580066
2015,7,9,1,567980
2015,7,9,2,558482
2015,7,9,3,534860
2015,7,9,4,501057
2015,7,9,5,469743
2015,7,9,6,443605
2015,7,9,7,422481
2015,7,9,8,407057
2015,7,9,9,400204
2015,7,9,10,404723
2015,7,9,11,419595
2015,7,9,12,438205
2015,7,9,13,459837
2015,7,9,14,485880
2015,7,9,15,514326
2015,7,9,16,541615
2015,7,9,17,563843
2015,7,9,18,583362
2015,7,9,19,597777
2015,7,9,20,607816
2015,7,9,21,614323
2015,7,9,22,615635
2015,7,9,23,608579
2015,7,9,24,595281
2015,7,10,1,580129
2015,7,10,2,566440
2015,7,10,3,541903
2015,7,10,4,507352
2015,7,10,5,473921
2015,7,10,6,448399
2015,7,10,7,425129
2015,7,10,8,408692
2015,7,10,9,400536
2015,7,10,10,403208
2015,7,10,11,414882
2015,7,10,12,433610
2015,7,10,13,456763
2015,7,10,14,486012
2015,7,10,15,516886
2015,7,10,16,545916
2015,7,10,17,568676
2015,7,10,18,588213
2015,7,10,19,603619
2015,7,10,20,613283
2015,7,10,21,619716
2015,7,10,22,619916
2015,7,10,23,611272
2015,7,10,24,594635
2015,7,11,1,574107
2015,7,11,2,558638
2015,7,11,3,535630
2015,7,11,4,502752
2015,7,11,5,470749
2015,7,11,6,441835
2015,7,11,7,419799
2015,7,11,8,402766
2015,7,11,9,391623
2015,7,11,10,386747
2015,7,11,11,386475
2015,7,11,12,393097
2015,7,11,13,415610
2015,7,11,14,446751
2015,7,11,15,481844
2015,7,11,16,514731
2015,7,11,17,541375
2015,7,11,18,561678
2015,7,11,19,576510
2015,7,11,20,587517
2015,7,11,21,595076
2015,7,11,22,597462
2015,7,11,23,592358
2015,7,11,24,579574
2015,7,12,1,562958
2015,7,12,2,551006
2015,7,12,3,529478
2015,7,12,4,498912
2015,7,12,5,467696
2015,7,12,6,440267
2015,7,12,7,417704
2015,7,12,8,400221
2015,7,12,9,388730
2015,7,12,10,382572
2015,7,12,11,379656
2015,7,12,12,383133
2015,7,12,13,402371
2015,7,12,14,435187
2015,7,12,15,469430
2015,7,12,16,502183
2015,7,12,17,532594
2015,7,12,18,556879
2015,7,12,19,576093
2015,7,12,20,590498
2015,7,12,21,601935
2015,7,12,22,606670
2015,7,12,23,608086
2015,7,12,24,600975
2015,7,13,1,586838
2015,7,13,2,576241
2015,7,13,3,554503
2015,7,13,4,518705
2015,7,13,5,483125
2015,7,13,6,455972
2015,7,13,7,434463
2015,7,13,8,417928
2015,7,13,9,410257
2015,7,13,10,413591
2015,7,13,11,427815
2015,7,13,12,449150
2015,7,13,13,476516
2015,7,13,14,508498
2015,7,13,15,543025
2015,7,13,16,577317
2015,7,13,17,606396
2015,7,13,18,630493
2015,7,13,19,647790
2015,7,13,20,659944
2015,7,13,21,668021
2015,7,13,22,671537
2015,7,13,23,666730
2015,7,13,24,653206
2015,7,14,1,636620
2015,7,14,2,619464
2015,7,14,3,588389
2015,7,14,4,547969
2015,7,14,5,508293
2015,7,14,6,477141
2015,7,14,7,452213
2015,7,14,8,434957
2015,7,14,9,426050
2015,7,14,10,429983
2015,7,14,11,443989
2015,7,14,12,462946
2015,7,14,13,488040
2015,7,14,14,517114
2015,7,14,15,547991
2015,7,14,16,575718
2015,7,14,17,600733
2015,7,14,18,620945
2015,7,14,19,637623
2015,7,14,20,648782
2015,7,14,21,655824
2015,7,14,22,658109
2015,7,14,23,650890
2015,7,14,24,638537
2015,7,15,1,619996
2015,7,15,2,601941
2015,7,15,3,574315
2015,7,15,4,535812
2015,7,15,5,498739
2015,7,15,6,468304
2015,7,15,7,443742
2015,7,15,8,426420
2015,7,15,9,417169
2015,7,15,10,419673
2015,7,15,11,434131
2015,7,15,12,452388
2015,7,15,13,473816
2015,7,15,14,499429
2015,7,15,15,527183
2015,7,15,16,553223
2015,7,15,17,575334
2015,7,15,18,594099
2015,7,15,19,610209
2015,7,15,20,621835
2015,7,15,21,629892
2015,7,15,22,633196
2015,7,15,23,625718
2015,7,15,24,613294
2015,7,16,1,596829
2015,7,16,2,582695
2015,7,16,3,555552
2015,7,16,4,518443
2015,7,16,5,481626
2015,7,16,6,451970
2015,7,16,7,427917
2015,7,16,8,410932
2015,7,16,9,402345
2015,7,16,10,405628
2015,7,16,11,418044
2015,7,16,12,435561
2015,7,16,13,457029
2015,7,16,14,483156
2015,7,16,15,511440
2015,7,16,16,538780
2015,7,16,17,562179
2015,7,16,18,582366
2015,7,16,19,599703
2015,7,16,20,613968
2015,7,16,21,624393
2015,7,16,22,630468
2015,7,16,23,626559
2015,7,16,24,613779
2015,7,17,1,599005
2015,7,17,2,586267
2015,7,17,3,560283
2015,7,17,4,523344
2015,7,17,5,487062
2015,7,17,6,456857
2015,7,17,7,433995
2015,7,17,8,417322
2015,7,17,9,409055
2015,7,17,10,412209
2015,7,17,11,425987
2015,7,17,12,443755
2015,7,17,13,467566
2015,7,17,14,498633
2015,7,17,15,532273
2015,7,17,16,565160
2015,7,17,17,592680
2015,7,17,18,615816
2015,7,17,19,633984
2015,7,17,20,646383
2015,7,17,21,654512
2015,7,17,22,656415
2015,7,17,23,648107
2015,7,17,24,633382
2015,7,18,1,617242
2015,7,18,2,601082
2015,7,18,3,575524
2015,7,18,4,538552
2015,7,18,5,503663
2015,7,18,6,474364
2015,7,18,7,449604
2015,7,18,8,430249
2015,7,18,9,418309
2015,7,18,10,413034
2015,7,18,11,413208
2015,7,18,12,419808
2015,7,18,13,444390
2015,7,18,14,478091
2015,7,18,15,513500
2015,7,18,16,546685
2015,7,18,17,574829
2015,7,18,18,596340
2015,7,18,19,610931
